Y,U,uv,k,epsilon
-38,22.345,-0.016779,0.1854,0.19777
-36,22.344,-0.024576,0.26978,0.2747
-34,22.357,-0.041471,0.37921,0.51958
-32,22.391,-0.068,0.51829,0.85205
-30,22.434,-0.10635,0.7214,1.5309
-28,22.516,-0.19669,0.94108,2.7638
-26,22.644,-0.30592,1.1659,4.7078
-24,22.83,-0.41446,1.3889,7.5234
-22,23.057,-0.60357,1.9276,11.289
-20,23.378,-0.87362,2.6145,16.832
-18,23.792,-1.2105,3.4277,27.219
-16,24.248,-1.5505,4.3468,45.177
-14,24.802,-1.8434,5.2299,76.722
-12,25.448,-2.18,6.1817,123.94
-10,26.169,-2.6408,7.2999,179.17
-8,26.885,-2.9965,8.244,231.59
-6,27.656,-3.2786,9.1733,280.65
-4,28.472,-3.5013,10.053,343.14
-2,29.347,-3.7146,10.606,408.74
0,30.19,-3.9588,11.262,407.75
2,31.058,-4.1709,11.851,440.36
4,31.926,-4.2945,12.225,462.43
6,32.798,-4.2669,12.083,469.43
8,33.573,-4.1504,11.828,467.77
10,34.405,-3.9575,11.47,418.73
12,35.203,-3.714,10.863,394.39
14,35.981,-3.4042,10.11,361.35
16,36.76,-3.097,9.2947,314.19
18,37.43,-2.8447,8.4642,273.27
20,38.078,-2.4803,7.5174,213.72
22,38.687,-2.1115,6.4946,173.97
24,39.211,-1.7481,5.4219,122.76
26,39.7,-1.3953,4.4127,97.851
28,40.15,-1.1311,3.635,64.176
30,40.528,-0.89691,2.95,34.624
32,40.797,-0.65686,2.2792,22.212
34,41.022,-0.49632,1.7942,15.542
36,41.18,-0.35187,1.3304,11.79
38,41.286,-0.22589,0.90507,9.15
40,41.38,-0.16357,0.6935,7.4089
42,41.456,-0.11987,0.52548,6.3659
44,41.496,-0.088002,0.39213,5.3456
46,41.537,-0.066163,0.29645,4.1848
