Reynolds number..........  1.0238E+06
Karman number............  3.9368E+04
Friction factor..........  1.1828E-02
Average velocity (m/s)...  8.4392E+00
Maximum velocity (m/s)...  9.8200E+00
Friction velocity (m/s)..  3.2450E-01
Pressure drop (Pa/m)..... -5.6799E+01
Correlation coefficient.. -0.99998991
Pressure (Pa)............  1.4882E+06
Temperature (K)..........  2.9840E+02
Density (kg/m3)..........  1.7444E+01
Compressibility factor...  9.9618E-01
Viscosity (N-sec/m2).....  1.8601E-05
Diameter (m).............  1.2936E-01

ys/R            rs/R            udef            y+              u+  
 6.9727E-03      9.9303E-01      1.3002E+01      1.3725E+02      1.7259E+01  
 7.6637E-03      9.9234E-01      1.2629E+01      1.5085E+02      1.7633E+01  
 8.5120E-03      9.9149E-01      1.2458E+01      1.6755E+02      1.7803E+01  
 9.4859E-03      9.9051E-01      1.2250E+01      1.8672E+02      1.8012E+01  
 1.0648E-02      9.8935E-01      1.1924E+01      2.0960E+02      1.8337E+01  
 1.1999E-02      9.8800E-01      1.1716E+01      2.3619E+02      1.8545E+01  
 1.3601E-02      9.8640E-01      1.1415E+01      2.6773E+02      1.8847E+01  
 1.5455E-02      9.8455E-01      1.1001E+01      3.0421E+02      1.9260E+01  
 1.7591E-02      9.8241E-01      1.0812E+01      3.4626E+02      1.9449E+01  
 2.0105E-02      9.7990E-01      1.0375E+01      3.9574E+02      1.9886E+01  
 2.3027E-02      9.7697E-01      1.0053E+01      4.5326E+02      2.0209E+01  
 2.6419E-02      9.7358E-01      9.7869E+00      5.2003E+02      2.0475E+01  
 3.0409E-02      9.6959E-01      9.3943E+00      5.9857E+02      2.0867E+01  
 3.5058E-02      9.6494E-01      9.1219E+00      6.9008E+02      2.1140E+01  
 4.0461E-02      9.5954E-01      8.7141E+00      7.9644E+02      2.1547E+01  
 4.6745E-02      9.5326E-01      8.4127E+00      9.2012E+02      2.1849E+01  
 5.4065E-02      9.4593E-01      8.0226E+00      1.0642E+03      2.2239E+01  
 6.2610E-02      9.3739E-01      7.6371E+00      1.2324E+03      2.2624E+01  
 7.2537E-02      9.2746E-01      7.3040E+00      1.4278E+03      2.2958E+01  
 8.4099E-02      9.1590E-01      6.9868E+00      1.6554E+03      2.3275E+01  
 9.7575E-02      9.0242E-01      6.5835E+00      1.9207E+03      2.3678E+01  
 1.1325E-01      8.8675E-01      6.2149E+00      2.2293E+03      2.4047E+01  
 1.3150E-01      8.6850E-01      5.8907E+00      2.5885E+03      2.4371E+01  
 1.5277E-01      8.4723E-01      5.5009E+00      3.0072E+03      2.4761E+01  
 1.7753E-01      8.2247E-01      5.1278E+00      3.4945E+03      2.5134E+01  
 2.0637E-01      7.9363E-01      4.6712E+00      4.0621E+03      2.5590E+01  
 2.3995E-01      7.6005E-01      4.2112E+00      4.7231E+03      2.6050E+01  
 2.7903E-01      7.2097E-01      3.8821E+00      5.4924E+03      2.6379E+01  
 3.2455E-01      6.7545E-01      3.4277E+00      6.3884E+03      2.6834E+01  
 3.7754E-01      6.2246E-01      3.0002E+00      7.4316E+03      2.7261E+01  
 4.3937E-01      5.6063E-01      2.4822E+00      8.6486E+03      2.7779E+01  
 5.0120E-01      4.9880E-01      2.0304E+00      9.8655E+03      2.8231E+01  
 5.6302E-01      4.3698E-01      1.5993E+00      1.1083E+04      2.8662E+01  
 6.2485E-01      3.7515E-01      1.2310E+00      1.2300E+04      2.9031E+01  
 6.8667E-01      3.1332E-01      9.1490E-01      1.3517E+04      2.9347E+01  
 7.4850E-01      2.5150E-01      6.2404E-01      1.4733E+04      2.9638E+01  
 8.1033E-01      1.8967E-01      3.6588E-01      1.5950E+04      2.9896E+01  
 8.5671E-01      1.4329E-01      2.2490E-01      1.6863E+04      3.0037E+01  
 9.0307E-01      9.6925E-02      9.7668E-02      1.7776E+04      3.0164E+01  
 9.3398E-01      6.6020E-02      5.7268E-02      1.8384E+04      3.0204E+01  
 9.6490E-01      3.5099E-02      4.6836E-02      1.8993E+04      3.0215E+01  
 9.9581E-01      4.1936E-03      9.2552E-03      1.9601E+04      3.0252E+01  
 1.0267E+00      -.2673E-01      -.5180E-02      2.0210E+04      3.0267E+01  
 1.0576E+00      -.5763E-01      2.2529E-02      2.0818E+04      3.0239E+01  
 1.0886E+00      -.8855E-01      8.0324E-02      2.1427E+04      3.0181E+01  
 1.1349E+00      -.1349E+00      1.3212E-01      2.2340E+04      3.0129E+01  
 1.1813E+00      -.1813E+00      2.7755E-01      2.3252E+04      2.9984E+01  
 1.2431E+00      -.2431E+00      4.8304E-01      2.4469E+04      2.9779E+01  
 1.3049E+00      -.3049E+00      7.5613E-01      2.5686E+04      2.9505E+01  
 1.3668E+00      -.3668E+00      1.0962E+00      2.6903E+04      2.9165E+01  
 1.4286E+00      -.4286E+00      1.4501E+00      2.8120E+04      2.8811E+01  
 1.4904E+00      -.4904E+00      1.8312E+00      2.9337E+04      2.8430E+01  
