% Measurements over a rough wall in channel flow 
%
% Surface roughness: 320 grit sandpaper
% downstream position, x = 90H
% kinematic viscosity, nu = 0.995 * 10^(-6) m^2/s
% channel half height, h = 12.61 mm
% centreline velocity, Ucl = 3.222 m/s
% frictional velocity, U_tau = 0.155 m/s
%
% Details of the experiment: Flack, Schultz, Barros & Kim (2016).  
% International Journal of Heat and Fluid Flow, 61:21-30.
% 
y,U,uv
0.1,1.063471,-0.01688793
0.1175,1.191145,-0.01879652
0.1375,1.296165,-0.01901331
0.1575,1.38223,-0.02065849
0.1875,1.478343,-0.02130842
0.2175,1.543522,-0.02241979
0.2575,1.62012,-0.02226296
0.2875,1.66782,-0.02297263
0.3375,1.731417,-0.0226098
0.3875,1.776583,-0.02294327
0.4375,1.825379,-0.02289589
0.4975,1.871625,-0.02275297
0.5675,1.925571,-0.0226201
0.6475,1.962758,-0.02223694
0.7375,2.01967,-0.02260156
0.8375,2.069925,-0.02241822
0.9475,2.113983,-0.02219702
1.0675,2.159773,-0.02206287
1.2075,2.218165,-0.02242465
1.3675,2.25793,-0.02194751
1.5475,2.305946,-0.02124066
1.7475,2.354556,-0.01976879
1.9775,2.417155,-0.02023435
2.2375,2.474763,-0.0196833
2.5175,2.521123,-0.01849571
2.8475,2.577333,-0.01825675
3.2075,2.628968,-0.01780458
3.6175,2.676047,-0.01694659
4.0775,2.74317,-0.0155633
4.5975,2.787511,-0.01529138
5.1875,2.848441,-0.01398225
5.8475,2.900906,-0.0130362
6.5875,2.970954,-0.01165188
7.4175,3.02911,-0.01017177
8.3575,3.08912,-0.00819623
9.4175,3.145744,-0.0058777
10.6075,3.191179,-0.00362509
11.9475,3.222384,-0.00098211
12.2475,3.214316,-0.00034042
12.4475,3.216863,-4.687e-05
12.6475,3.217705,0.00020651
12.8475,3.216069,0.00070915
